name,stars,language,owner,url,created_at,age_years,license
RxJava,47685,Java,ReactiveX,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,11.38,Apache License 2.0
yolov5,47537,Python,ultralytics,https://github.com/ultralytics/yolov5,2020-05-18T03:45:11Z,4.02,GNU Affero General Public License v3.0
rich,47455,Python,Textualize,https://github.com/Textualize/rich,2019-11-10T15:28:09Z,4.53,MIT License
DefinitelyTyped,47354,TypeScript,DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,11.64,Other
hacker-scripts,47271,JavaScript,NARKOZ,https://github.com/NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,8.51,No License
drawio-desktop,47185,JavaScript,jgraph,https://github.com/jgraph/drawio-desktop,2017-05-25T20:58:42Z,7.0,Apache License 2.0
pi-hole,47074,Shell,pi-hole,https://github.com/pi-hole/pi-hole,2014-06-08T15:02:55Z,9.96,Other
chinese-poetry,47039,JavaScript,chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,7.73,MIT License
bypass-paywalls-chrome,47009,JavaScript,iamadamdev,https://github.com/iamadamdev/bypass-paywalls-chrome,2018-04-07T20:33:19Z,6.13,No License
bat,46944,Rust,sharkdp,https://github.com/sharkdp/bat,2018-04-21T10:52:23Z,6.09,Apache License 2.0
pdf.js,46591,JavaScript,mozilla,https://github.com/mozilla/pdf.js,2011-04-26T06:32:03Z,13.08,Apache License 2.0
etcd,46547,Go,etcd-io,https://github.com/etcd-io/etcd,2013-07-06T21:57:21Z,10.88,Apache License 2.0
lazygit,46379,Go,jesseduffield,https://github.com/jesseduffield/lazygit,2018-05-19T00:53:06Z,6.02,MIT License
go-ethereum,46378,Go,ethereum,https://github.com/ethereum/go-ethereum,2013-12-26T13:05:46Z,10.41,GNU Lesser General Public License v3.0
project-layout,46339,Makefile,golang-standards,https://github.com/golang-standards/project-layout,2017-09-09T16:33:26Z,6.7,Other
algorithm-visualizer,46298,JavaScript,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,8.03,MIT License
cypress,46244,JavaScript,cypress-io,https://github.com/cypress-io/cypress,2015-03-04T00:46:28Z,9.23,MIT License
mkcert,46147,Go,FiloSottile,https://github.com/FiloSottile/mkcert,2018-06-25T05:33:03Z,5.92,"BSD 3-Clause ""New"" or ""Revised"" License"
mastodon,46125,Ruby,mastodon,https://github.com/mastodon/mastodon,2016-02-22T15:01:25Z,8.25,GNU Affero General Public License v3.0
serverless,46120,JavaScript,serverless,https://github.com/serverless/serverless,2015-04-21T03:48:40Z,9.1,MIT License
github-cheat-sheet,45984,,tiimgreen,https://github.com/tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,10.12,MIT License
awesome-ios,45977,Swift,vsouza,https://github.com/vsouza/awesome-ios,2014-07-10T16:03:45Z,9.87,MIT License
Ghost,45937,JavaScript,TryGhost,https://github.com/TryGhost/Ghost,2013-05-04T11:09:13Z,11.06,MIT License
dayjs,45936,JavaScript,iamkun,https://github.com/iamkun/dayjs,2018-04-10T09:26:44Z,6.12,MIT License
big-list-of-naughty-strings,45915,Python,minimaxir,https://github.com/minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,8.79,MIT License
DeepFaceLab,45768,Python,iperov,https://github.com/iperov/DeepFaceLab,2018-06-04T13:10:00Z,5.97,GNU General Public License v3.0
professional-programming,45483,Python,charlax,https://github.com/charlax/professional-programming,2015-11-07T05:07:52Z,8.55,MIT License
ripgrep,45409,Rust,BurntSushi,https://github.com/BurntSushi/ripgrep,2016-03-11T02:02:33Z,8.21,The Unlicense
okhttp,45335,Kotlin,square,https://github.com/square/okhttp,2012-07-23T13:42:55Z,11.84,Apache License 2.0
learn-regex,45210,,ziishaned,https://github.com/ziishaned/learn-regex,2017-07-22T12:21:03Z,6.84,MIT License
marktext,45030,JavaScript,marktext,https://github.com/marktext/marktext,2017-11-12T16:05:25Z,6.53,MIT License
